order_detail_id,order_id,product_id,quantity
1,1,28,5
2,2,56,2
3,3,17,2
4,3,39,1
5,4,46,1
6,4,18,1
7,4,70,2
8,4,49,2
9,5,60,5
10,5,62,4
11,6,11,4
12,7,60,5
13,8,52,5
14,8,16,1
15,8,61,4
16,9,19,4
17,9,11,5
18,9,64,5
19,9,3,2
20,10,41,3
21,10,30,1
22,10,65,5
23,10,49,5
24,11,38,2
25,11,19,1
26,11,30,1
27,12,55,1
28,12,50,2
29,12,66,3
30,12,14,3
31,13,55,4
32,13,69,5
33,13,62,3
34,14,47,5
35,15,38,3
36,15,39,1
37,15,25,4
38,15,27,4
39,16,30,2
40,16,27,3
41,16,6,3
42,17,41,3
43,17,1,3
44,17,23,3
45,18,4,4
46,18,14,5
47,18,66,1
48,19,4,4
49,19,53,5
50,20,30,5
51,20,47,2
52,20,71,1
53,20,59,4
54,21,24,2
55,22,55,4
56,22,30,4
57,22,54,3
58,22,38,2
59,23,64,5
60,23,18,1
61,23,44,3
62,24,47,1
63,24,45,5
64,24,58,2
65,24,1,5
66,25,47,2
67,25,16,1
68,25,26,1
69,26,22,1
70,26,35,2
71,26,49,2
72,26,27,2
73,27,50,3
74,27,57,3
75,28,5,4
76,28,17,5
77,28,62,1
78,28,32,1
79,29,40,3
80,29,41,1
81,30,13,3
82,30,63,3
83,30,53,2
84,31,33,4
85,31,15,5
86,32,15,5
87,32,62,5
88,33,23,5
89,34,5,3
90,34,20,3
91,35,9,1
92,35,54,3
93,35,8,4
94,35,63,1
95,36,25,4
96,37,11,4
97,37,50,3
98,37,3,4
99,38,62,2
100,38,39,3
101,39,41,2
102,39,38,3
103,40,56,4
104,41,21,1
105,41,51,3
106,42,50,1
107,42,42,5
108,42,43,5
109,43,13,5
110,43,36,1
111,43,6,1
112,44,35,1
113,44,63,4
114,44,26,4
115,45,5,4
116,45,25,1
117,46,57,5
118,46,28,2
119,47,8,1
120,47,19,3
121,48,18,2
122,48,26,1
123,49,57,1
124,49,5,3
125,50,2,1
126,51,65,3
127,51,53,2
128,51,36,4
129,51,28,1
130,52,46,1
131,53,42,2
132,53,44,1
133,53,63,2
134,54,20,1
135,54,44,1
136,54,15,5
137,54,48,3
138,55,34,4
139,55,26,3
140,56,34,2
141,56,66,4
142,56,35,4
143,56,7,1
144,57,58,3
145,57,46,4
146,58,36,2
147,58,67,1
148,58,8,5
149,58,10,5
150,59,56,3
151,59,52,3
152,60,44,1
153,60,53,4
154,60,26,2
155,61,14,4
156,62,48,2
157,62,38,3
158,62,57,2
159,63,42,4
160,63,14,5
161,64,56,2
162,64,27,3
163,65,12,1
164,65,66,4
165,65,21,3
166,65,43,2
167,66,34,1
168,66,22,1
169,66,23,4
170,66,71,3
171,67,50,3
172,67,34,5
173,67,25,1
174,67,71,2
175,68,63,1
176,69,32,4
177,69,50,4
178,70,2,1
179,70,21,4
180,71,3,3
181,71,41,1
182,72,47,1
183,72,19,5
184,72,66,2
185,72,28,3
186,73,8,5
187,74,71,3
188,74,5,1
189,74,56,1
190,75,9,4
191,75,20,2
192,76,49,3
193,77,29,1
194,77,69,5
195,77,20,4
196,78,54,2
197,78,9,3
198,79,59,1
199,79,27,2
200,79,51,2
201,80,18,1
202,80,50,4
203,81,35,2
204,81,14,5
205,81,6,5
206,81,30,5
207,82,8,1
208,83,47,2
209,83,53,2
210,83,4,2
211,84,50,2
212,84,55,3
213,84,49,5
214,85,23,2
215,85,32,1
216,85,62,3
217,86,24,2
218,86,2,2
219,86,43,1
220,86,29,4
221,87,45,4
222,87,39,2
223,87,1,1
224,88,32,4
225,88,9,5
226,88,61,1
227,89,42,2
228,89,49,2
229,89,65,4
230,90,47,2
231,91,62,3
232,91,65,5
233,92,27,1
234,92,31,4
235,92,49,1
236,93,42,1
237,93,68,5
238,93,6,3
239,94,16,4
240,94,25,1
241,95,60,1
242,95,20,1
243,95,9,5
244,95,43,1
245,96,68,2
246,96,58,4
247,96,9,3
248,97,17,3
249,97,30,3
